Provincia;Municipio;Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasolina 95 E5 Premium;Precio gasolina 98 E5;Precio gasolina 98 E10;Precio gasóleo A;Precio gasóleo Premium;Precio gasóleo B;Precio gasóleo C;Precio bioetanol;Precio biodiésel;Precio gases licuados del petróleo;Precio gas natural comprimido;Precio gas natural licuado;Precio hidrógeno;Rótulo;Tipo venta;Rem.;Horario;Tipo servicio
ALBACETE;ALBACETE;ALBACETE;02006;CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N;N;-1.847361;38.988972;11/11/24 10:48;1.359;;;1.559;;1.259;1.359;;;;;;;;;FAMILY ENERGY;P;dm;"L-S: 07:00-23:00; D: 08:00-23:00";"L-S: 07:00-23:00 (A); D: 08:00-23:00 (A)"
ALBACETE;ALBACETE;ALBACETE;02006;CR N-322, 337,8;I;-2.031861;38.925833;11/11/24 11:53;1.569;;;1.709;;1.469;1.539;;;;;;;;;REPSOL;P;dm;L-D: 06:30-22:00;L-D: 06:30-22:00 (P)
ALBACETE;ALBACETE;ALBACETE;02006;AVDA. DE LOS TOREROS, S/N;N;-1.869889;38.998222;15/11/24 7:00;1.479;;;;;1.389;1.439;;;;;;;;;INPEALSA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
ALBACETE;ALBACETE;ALBACETE;02006;PG CAMPOLLANO-P. 2-CT, S.N.;D;-1.874972;39.012583;16/11/24 0:00;1.529;;;1.639;;1.469;1.539;;;;;;;;;REPSOL;P;OM;"L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00";"L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)"
ALBACETE;ALBACETE;ALBACETE;02006;CR N-301, 244;I;-1.892972;39.027778;16/11/24 11:00;1.549;;;1.649;;1.479;1.539;;;;;;;;;REPSOL;P;OM;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02006;CARRETERA N-322 KM. 359;D;-1.845083;39.033139;16/11/24 0:00;1.529;;;1.649;;1.459;1.539;;;;;;;;;REPSOL;P;OM;"L-V: 07:00-21:00; S-D: 09:00-14:00";Sin datos
ALBACETE;ALBACETE;ALBACETE;02006;AVENIDA 1º DE MAYO, S/N;N;-1.866806;38.985194;15/11/24 16:27;1.489;;;;;1.389;;;;;;;;;;PETROCAMP;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
ALBACETE;ALBACETE;ALBACETE;02006;AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N;N;-1.853306;38.982167;15/11/24 7:00;1.479;;;;;1.389;;;;;;;;;;INPEALSA;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (P)
ALBACETE;ALBACETE;ALBACETE;02006;CARRETERA NACIONAL 322 PTO KM 347 KM. 347;D;-1.9355;38.965639;13/11/24 22:15;;;;;;1.389;;;;;;;;;;P347;P;dm;L-S: 07:00-22:00;L-S: 07:00-22:00 (A)
ALBACETE;ALBACETE;ALBACETE;02099;CARRETERA NACIONAL 301 KM. 256;D;-1.831639;38.929389;15/11/24 6:00;1.479;;;;;1.379;;;;;;;;;;INPEALSA;P;dm;L-D: 24H;"L-V: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); S: 00:00-07:00 (D), 07:00-15:00 (P), 15:00-23:59 (D); D: 24H (D)"
ALBACETE;ALBACETE;ALBACETE;02004;CARRETERA N-322 KM. 349;D;-1.919778;38.970167;11/11/24 8:26;1.619;;;1.669;;1.509;1.589;;;;;;;;;CEPSA;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;SANTA ANA;02328;AVENIDA PRINCIPE, 2;D;-1.994028;38.900944;16/11/24 0:00;1.519;;;1.629;;1.449;1.499;1.165;;;;;;;;REPSOL;P;OM;L-D: 08:00-16:00;L-D: 08:00-16:00 (A)
ALBACETE;ALBACETE;SALOBRAL (EL);02140;CM. 3203 km 14,1;D;-1.9205;38.867556;6/11/24 12:29;1.405;;;;;1.306;1.86;0.97;;;;;;;;LOZANO;P;dm;"L-S: 07:00-14:00; D: 09:00-14:00";Sin datos
ALBACETE;ALBACETE;SALOBRAL (EL);02099;CTRA.AGUASNUEVAS KM 0,25;D;-1.922722;38.870278;11/11/24 13:07;;;;;;;;0.99;;;;;;;;CORYMAR;R;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02007;MADRID-CARTAGENA km 248,5;D;-1.845278;38.971722;16/11/24 0:00;1.539;;1.579;1.659;;1.469;1.529;;;;;;;;;REPSOL. LOS ANGELES DE LA MANCHA, S.L.;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALBACETE;ALBACETE;02007;MADRID-CARTAGENA km 248,5;I;-1.845306;38.971778;16/11/24 0:00;1.539;;;1.659;;1.469;1.529;;;;;;;;;REPSOL Nº ESTACIÓN 97179;P;OM;L-V: 06:00-22:00;L-V: 06:00-22:00 (A)
ALBACETE;ALBACETE;ALBACETE;02007;AUTOVIA A-31 KM. 69;I;-1.891361;39.031528;16/11/24 11:00;1.549;;;1.689;;1.479;1.539;;;;;0.939;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALBACETE;ALBACETE;02007;AVENIDA 3ª ESQUINA C/ F Nº3, 3;N;-1.885694;39.009417;13/11/24 9:09;1.449;;;;;1.299;;;;;;;;;;FAST & GAS;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02007;POLIGONO CAMPOLLANO AVENIDA -0-, 69;D;-1.879639;39.021972;11/11/24 11:31;1.479;;;;;1.35;;;;;;;;;;ABOIL;P;dm;"L-V: 07:00-21:00; S-D: 09:00-14:00";"L-V: 07:00-21:00 (P); S-D: 09:00-14:00 (P)"
ALBACETE;ALBACETE;ALBACETE;02007;AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67;N;-1.886556;39.021583;15/11/24 9:35;1.489;;;;;1.379;;;;;;;;;;VALERO 24H;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02007;POLIGONO CAMPOLLANO AVENIDA 1, 0;N;-1.893944;39.016389;15/11/24 6:00;1.479;;;;;1.379;1.429;;;;;;;;;INPEALSA;P;dm;"L-V: 06:00-22:00; S: 06:00-14:00";S: 06:00-14:00 (A)
ALBACETE;ALBACETE;ALBACETE;02007;CARRETERA C-M 332 KM. 2,6;D;-1.831611;38.998111;11/11/24 0:46;1.589;;;1.719;;1.509;1.589;1.639;;;;;;;;"INLOCOR S.L. ""CEPSA""";P;dm;L-D: 06:00-23:30;L-D: 06:00-23:30 (A)
ALBACETE;ALBACETE;ALBACETE;02007;SECTOR PARCELA T-3 LOCAL52, 14;N;-1.878111;39.009639;11/11/24 15:13;1.488;;;1.579;;1.388;1.478;;;;;;;;;ALCAMPO;P;dm;"L-S: 06:00-23:00; D: 08:00-23:00";"L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)"
ALBACETE;ALBACETE;ALBACETE;02007;POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69;D;-1.874333;39.018;13/11/24 0:40;1.489;;;1.639;;1.379;1.479;;;;;;;;;ENERCOM CARBURANTES;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02007;CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N;D;-1.888083;39.029583;12/11/24 0:00;;;;;;;;;;;;;1.389;1.219;;NATURGY ES  GNV ALBACETE;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02007;CALLE AUTOVIA, SN;N;-1.888333;39.029167;15/11/24 15:15;1.479;;;;;1.379;;;;;;;;;;LA GAVIOTA GASOLINERA 24 HORA;P;dm;L-D: 24H;"L-V: 00:00-08:30 (D), 08:30-19:00 (A), 19:00-23:59 (D); S-D: 24H (D)"
ALBACETE;ALBACETE;ALBACETE;02007;POLIGONO CAMPOLLANO C/.F, 13;D;-1.889417;39.012472;11/11/24 10:49;;;;;;1.299;;;;;;;;;;AVANZA OIL;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02007;AVENIDA PRIMERA, S/N;D;-1.882056;39.022139;11/11/24 10:24;1.355;;;;;1.255;;;;;;;;;;GMOIL;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALBACETE;ALBACETE;02080;CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238;I;-1.873194;38.970778;11/11/24 19:48;1.479;;;;;1.379;;;;;;;;;;AREA LOS LLANOS;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
ALBACETE;ALBACETE;ALBACETE;02080;POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N;D;-1.823639;38.969361;11/11/24 20:31;1.599;;;1.719;;1.509;1.579;;;;;;;;;CEPSA;P;dm;L-D: 06:30-22:30;Sin datos
ALBACETE;ALBACETE;ALBACETE;02080;AUTOVIA A-30 KM. 239,4;D;-1.93325;39.059806;16/11/24 6:00;1.509;;;1.641;;1.449;1.529;;;;;;;;;CEPSA;P;OM;L-D: 07:00-23:00;Sin datos
ALBACETE;ALBACETE;ALBACETE;02080;AUTOVIA A-30 KM. 239,4;I;-1.933056;39.060528;16/11/24 6:00;1.509;;;;;1.439;1.519;;;;;;;;;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
ALBACETE;ALCADOZO;ALCADOZO;02124;CM-3203 km 41,9;I;-1.978917;38.646833;11/11/24 10:28;1.599;;;;;1.529;1.599;1.269;;;;;;;;CEPSA;P;dm;L-D: 07:00-21:30;L-D: 07:00-21:30 (A)
ALBACETE;ALCALÁ DEL JÚCAR;ALCALA DEL JUCAR;02210;CARRETERA CM-3201 47,1 KM. 47,1;D;-1.433222;39.203167;12/11/24 13:02;1.499;;;;;1.389;;;;;;;;;;EL JUCAR;P;dm;L-D: 08:00-20:00;Sin datos
ALBACETE;ALCARAZ;JARDIN (EL);02330;CARRETERA 322 KM. 302;I;-2.327639;38.808528;16/11/24 0:00;1.499;;1.539;;;1.449;1.499;;;;;;;;;REPSOL;P;OM;L-V: 07:00-17:00;L-V: 07:00-17:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;CL AVDA. DE AYORA, S.N. A;D;-1.100528;38.874583;16/11/24 10:00;1.549;;;1.659;;1.459;1.499;;;;;0.949;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;AUTOVIA A-31 KM. 143,350;I;-1.143722;38.878278;16/11/24 11:13;1.569;;;1.619;;1.486;1.589;;;;;;;;;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;AVENIDA CIRCUNVALACION, 26;N;-1.08475;38.859944;16/11/24 11:10;1.567;;;;;1.497;1.586;;;;;;;;;CEPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;AVENIDA MADRID, 11;N;-1.108;38.871556;16/11/24 0:00;1.567;;1.599;;;1.497;1.586;;;;;;;;;CEPSA;P;OM;L-V: 06:00-22:00;L-V: 06:00-22:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;AVENIDA CIRCUNVALACION, 9;N;-1.098889;38.879167;16/11/24 10:00;1.577;;1.627;;;1.497;1.586;;;;;;;;;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;CARRETERA N-430 BADAJOZ A VALENCIA KM. 594;D;-1.027694;38.850278;15/11/24 0:35;1.419;;;;;1.349;;1.099;;;;;;;;GASOLINERA LOW COST PENADES;P;dm;L-D: 24H;L-D: 24H (P)
ALBACETE;ALMANSA;ALMANSA;02640;AUTOVIA A-31 KM. 140;D;-1.17575;38.875028;15/11/24 15:00;1.564;;;1.704;;1.454;1.534;;;;;;;;;SHELL;P;OM;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
ALBACETE;ALMANSA;ALMANSA;02640;AVENIDA CIRCUNVALACION, 17;N;-1.089278;38.874083;12/11/24 9:30;;;;;;1.339;;;;;;;;;;GASÓLEOS S. ALMANSA;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;ALMANSA;ALMANSA;02640;AVENIDA INFANTE DON JUAN MANUEL, 8;D;-1.102944;38.874556;15/11/24 5:13;1.339;;;;;1.309;;;;;;;;;;QUALITY ALMANSA;P;dm;L-D: 24H;Sin datos
ALBACETE;ALMANSA;ALMANSA;02640;AVENIDA AYORA CON AVENIDA ADOLFO SUAREZ, S/N;D;-1.100028;38.878667;12/11/24 19:35;1.339;;;;;1.309;;;;;;;;;;PLENOIL;P;dm;L-D: 24H;L-D: 24H (D)
ALBACETE;ALPERA;ALPERA;02690;BONETE, S/Nº;N;-1.236552;38.958875;11/11/24 9:48;1.391;;;;;1.333;;0.945;;;;;;;;COOPERATIVA SANTA CRUZ DE ALPERA;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;BALAZOTE;BALAZOTE;02320;N-322 km 326,2;D;-2.150639;38.878028;13/11/24 11:26;1.569;;;;;1.469;;1.179;;;;;;;;E.S. BALAZOTE S.L.;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
ALBACETE;BARRAX;BARRAX;02639;CALLE ALBACETE, 57;I;-2.195139;39.043139;13/11/24 11:37;1.569;;;;;1.469;;1.179;;;;;;;;E.S. BARRAX S.L.;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
ALBACETE;BARRAX;BARRAX;02639;CAMINO DE LOS GONZALOS SN;D;-2.192996;39.051236;14/11/24 19:42;;;;;;1.299;;0.938;;;;;;;;COABA;R;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;BIENSERVIDA;BIENSERVIDA;02360;CARRETERA BIENSERVIDA KM. 10;N;-2.617667;38.516417;11/11/24 13:17;1.464;;;;;1.364;;;;;;;;;;GASOLINERA ETENOIL;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A)
ALBACETE;BONETE;BONETE;02691;AUTOVIA A-31 KM. 126;D;-1.3315;38.875861;16/11/24 0:00;1.529;;;1.669;;1.469;1.519;;;;;;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;BONETE;BONETE;02691;CR N-430, 566,3;I;-1.331611;38.876111;16/11/24 11:00;1.539;;;1.669;;1.479;1.519;;;;;;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;BONILLO (EL);BONILLO (EL);02610;CALLE CARRETERA MUNERA, 2;D;-2.535056;38.953361;16/11/24 0:00;1.519;;;1.629;;1.469;1.519;1.178;;;;;;;;REPSOL;P;OM;S-D: 07:00-15:00;S-D: 07:00-15:00 (A)
ALBACETE;CASAS DE JUAN NÚÑEZ;CASAS DE JUAN NUÑEZ;02151;AVDA. ALBACETE, 33;D;-1.560857;39.100792;11/11/24 8:00;1.579;;;;;1.459;;0.899;;;;;;;;GASOLINERAS DEL REY;P;dm;L-D: 07:00-23:00;L-D: 07:00-23:00 (A)
ALBACETE;CASAS DE VES;CASAS DE VES;02212;CARRETERA CASAS IBAÑEZ KM. 13,8;D;-1.332194;39.255139;8/11/24 13:54;;;;;;;;0.973;;;;;;;;COOPERATIVA;R;dm;L-V: 08:00-13:30 y 15:00-18:00;L-V: 08:00-13:30 (A), 15:00-18:00 (A)
ALBACETE;CASAS-IBÁÑEZ;CASAS-IBAÑEZ;02200;AVDA. DEL VINO, 10;D;-1.474111;39.291389;11/11/24 18:15;;;;;;;;1.1;;;;;;;;NTRA SRA DE LA CABEZA;R;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;CASAS-IBÁÑEZ;CASAS-IBAÑEZ;02200;CARRETERA ALBACETE KM. 94;I;-1.477806;39.283944;11/11/24 20:55;1.559;;;1.649;;1.489;1.549;1.129;;;;;;;;CEPSA;P;dm;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
ALBACETE;CAUDETE;CAUDETE;02660;AVENIDA VALENCIA DE, 16;N;-0.982111;38.708944;14/11/24 9:01;1.569;;;1.719;;1.439;1.529;;;;;;;;;GALP;P;dm;L-D: 06:00-22:00;Sin datos
ALBACETE;CAUDETE;CAUDETE;02660;CR N-344 DIRC.VALENCIA, KM.  118.3;N;-0.943;38.727472;4/11/24 20:25;1.589;;;1.749;;1.45;1.559;;;;;;;;;BP PARGA I PETROL BAS BEL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;CAUDETE;CAUDETE;02660;CARRETERA D-12 ESTACION KM. 32;D;-0.971639;38.711694;11/11/24 10:33;1.479;;;;;1.349;;1.039;;;;;;;;VILA Y FAYOS ;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;CAUDETE;CAUDETE;02660;AUTOVIA A-31 KM. 167,50;I;-0.955833;38.756417;16/11/24 0:00;1.529;;;1.669;;1.469;1.519;1.124;;;;;;;;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
ALBACETE;CAUDETE;CAUDETE;02660;CARRETERA D12 ESTACION KM. 1;D;-0.973861;38.71075;11/11/24 11:55;;;;;;;;;;;;;;1.239;;HAM;P;dm;L-D: 24H;L-D: 24H (D)
ALBACETE;CENIZATE;CENIZATE;02247;CALLE VIRGEN DE LAS NIEVES, 17;D;-1.664167;39.301;11/11/24 10:27;1.399;;;;;1.32;;0.935;;;;;;;;VIRGEN DE LAS NIEVES;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;CHINCHILLA DE MONTE-ARAGO;02520;AUTOVIA A-31 KM. 86;D;-1.758;38.937583;16/11/24 0:00;1.529;;;1.679;;1.469;1.519;;;;;0.939;;;;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;CHINCHILLA DE MONTE-ARAGO;02520;AUTOVIA A-31 KM. 86;I;-1.757611;38.938611;16/11/24 0:00;1.529;;;;;1.469;1.519;;;;;;;;;REPSOL;P;OM;L-D: 06:00-23:00;L-D: 06:00-23:00 (A)
ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;CHINCHILLA DE MONTE-ARAGO;02520;Ctra. AB-430 KM 530,3;I;-1.726278;38.915972;16/11/24 0:00;1.519;;;1.629;;1.469;1.529;;;;;;;;;REPSOL;P;OM;L: 06:00-22:00;L: 06:00-22:00 (A)
ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;POZO BUENO;02510;CL AVENIDA GENERALISIMO 107 (N-301 km 276);I;-1.731861;38.803389;16/11/24 0:00;1.509;;1.539;;;1.489;;;;;;;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;CHINCHILLA DE MONTE-ARAGÓN;VILLAR DE CHINCHILLA;02695;AUTOVIA A31 KM. 111;N;-1.502806;38.898306;11/11/24 6:00;1.579;;;1.719;;1.479;1.579;;;;;;;;;CEPSA;P;dm;"L-V: 06:00-22:00; S-D: 07:00-22:00";Sin datos
ALBACETE;ELCHE DE LA SIERRA;ELCHE DE LA SIERRA;02430;POLIGONO EL CAMPILLO A, 2;D;-2.017917;38.460694;16/11/24 9:17;1.46;;;;;1.439;;;;;;;;;;DLP;P;dm;"L-V: 08:00-21:00; S: 08:00-14:00";"L-V: 08:00-21:00 (P); S: 08:00-14:00 (P)"
ALBACETE;ELCHE DE LA SIERRA;ELCHE DE LA SIERRA;02430;CL BOLEA, 36 (CM-412 km 235,65);D;-2.044778;38.451306;16/11/24 0:00;1.519;;;1.649;;1.499;;1.186;;;;;;;;CAMPSA;P;OM;L: 06:00-22:00;L: 06:00-22:00 (A)
ALBACETE;FUENTE-ÁLAMO;FUENTE-ALAMO;02651;AVDA. DOCTOR PEREZ GIL, 25;N;-1.433306;38.689833;11/11/24 9:11;1.659;;;1.82;;1.499;;1.099;;;;;;;;Nº 7374;P;dm;L: 07:00-21:00;Sin datos
ALBACETE;FUENTE-ÁLAMO;FUENTE-ALAMO;02651;LA HIGUERA, 000;D;-1.431579;38.695348;15/11/24 9:55;;;;;;1.26;;0.89;;;;;;;;SAN DIONISIO;R;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;FUENTEALBILLA;FUENTEALBILLA;02260;N-322 (CORDOBA-VALENCIA) km 399;I;-1.548639;39.269972;11/11/24 15:21;1.469;;;;;1.349;;0.979;;;;;;;;ES SAN ANTONIOABAD. FUENTEALBILLA;P;dm;L-D: 07:00-20:00;L-D: 07:00-20:00 (A)
ALBACETE;GINETA (LA);GINETA (LA);02110;CR A-31, 235;I;-1.963944;39.086278;16/11/24 11:00;1.549;;1.569;1.689;;1.479;;;;;;;;;;REPSOL;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
ALBACETE;GINETA (LA);GINETA (LA);02110;CR N-301, 231,8;D;-1.990194;39.107667;16/11/24 0:00;1.519;;;1.639;;1.449;1.519;;;;;;;;;REPSOL;P;OM;L-D: 07:00-21:00;L-D: 07:00-21:00 (A)
ALBACETE;GOLOSALVO;GOLOSALVO;02253;CARRETERA NACIONAL 322 KM. 390;D;-1.635111;39.238111;16/11/24 11:14;1.569;;;1.701;;1.469;1.554;;;;;;;;;CEPSA;P;dm;L: 06:00-22:00;L: 06:00-22:00 (A)
ALBACETE;HELLÍN;HELLIN;02400;POLIGONO SAN RAFAEL 3ª FASE, SN;N;-1.705389;38.545111;16/11/24 0:00;;;;;;1.529;;;;;;;;;;IDS;P;OM;L-D: 24H;L-D: 24H (A)
ALBACETE;HELLÍN;HELLIN;02400;CARRETERA MURCIA KM. 33;I;-1.687833;38.506806;16/11/24 0:00;1.499;;;1.629;;1.469;;;;;;;;;;PETRONOR;P;OM;L-D: 06:00-23:00;L: 06:00-23:00 (A)
ALBACETE;HELLÍN;HELLIN;02400;CARRETERA N 301-A KM. S/N;D;-1.677694;38.502528;12/11/24 11:51;1.419;;;;;1.339;;;;;;;;;;MULTSER-OIL;P;dm;L-D: 24H;L-D: 24H (A)
ALBACETE;HELLÍN;HELLIN;02400;AUTOVIA A-30 KM. 322,5;D;-1.596722;38.46425;4/11/24 11:22;1.549;;;1.679;;1.479;1.549;;;;;;;;;GALP;P;dm;L-D: 06:00-22:00;Sin datos
ALBACETE;HELLÍN;HELLIN;02400;MELCHOR  DE MACANAZ, 66;N;-1.696972;38.511222;11/11/24 12:13;1.499;;;1.619;;1.469;1.549;;;;;;;;;BP;P;dm;L: 06:00-23:00;L: 06:00-23:00 (A)
ALBACETE;HELLÍN;HELLIN;02400;CARRETERA TORREUCHEA KM. 1;D;-1.636389;38.495972;14/11/24 10:47;1.519;;;1.649;;1.489;1.589;;;;;0.999;;;;HELLIN GAS S.L.;P;dm;L-D: 24H;L-D: 24H (A)
