direccion_estacion;margen_estacion;tipo_estacion;horario_estacion;latitud_estacion;longitud_estacion;nombre_localidad;nombre_empresa
CARRETERA D12 ESTACION KM. 1;D;Terrestre;L-D: 24H;38.71075;-0.973861;CAUDETE;HAM
CALLE VIRGEN DE LAS NIEVES, 17;D;Terrestre;L-D: 24H;39.301;-1.664167;CENIZATE;VIRGEN DE LAS NIEVES
AUTOVIA A-31 KM. 86;D;Terrestre;L-D: 06:00-23:00;38.937583;-1.758;CHINCHILLA DE MONTE-ARAGO;REPSOL
AUTOVIA A-31 KM. 86;I;Terrestre;L-D: 06:00-23:00;38.938611;-1.757611;CHINCHILLA DE MONTE-ARAGO;REPSOL
Ctra. AB-430 KM 530,3;I;Terrestre;L: 06:00-22:00;38.915972;-1.726278;CHINCHILLA DE MONTE-ARAGO;REPSOL
CL AVENIDA GENERALISIMO 107 (N-301 km 276);I;Terrestre;L-D: 06:00-22:00;38.803389;-1.731861;POZO BUENO;REPSOL
AUTOVIA A31 KM. 111;N;Terrestre;"L-V: 06:00-22:00; S-D: 07:00-22:00";38.898306;-1.502806;VILLAR DE CHINCHILLA;CEPSA
POLIGONO EL CAMPILLO A, 2;D;Terrestre;"L-V: 08:00-21:00; S: 08:00-14:00";38.460694;-2.017917;ELCHE DE LA SIERRA;DLP
CL BOLEA, 36 (CM-412 km 235,65);D;Terrestre;L: 06:00-22:00;38.451306;-2.044778;ELCHE DE LA SIERRA;CAMPSA
AVDA. DOCTOR PEREZ GIL, 25;N;Terrestre;L: 07:00-21:00;38.689833;-1.433306;FUENTE-ALAMO;Nº 7374
LA HIGUERA, 000;D;Terrestre;L-D: 24H;38.695348;-1.431579;FUENTE-ALAMO;SAN DIONISIO
N-322 (CORDOBA-VALENCIA) km 399;I;Terrestre;L-D: 07:00-20:00;39.269972;-1.548639;FUENTEALBILLA;ES SAN ANTONIOABAD. FUENTEALBILLA
CR A-31, 235;I;Terrestre;L-D: 06:00-22:00;39.086278;-1.963944;GINETA (LA);REPSOL
CR N-301, 231,8;D;Terrestre;L-D: 07:00-21:00;39.107667;-1.990194;GINETA (LA);REPSOL
CARRETERA NACIONAL 322 KM. 390;D;Terrestre;L: 06:00-22:00;39.238111;-1.635111;GOLOSALVO;CEPSA
POLIGONO SAN RAFAEL 3ª FASE, SN;N;Terrestre;L-D: 24H;38.545111;-1.705389;HELLIN;IDS
CARRETERA MURCIA KM. 33;I;Terrestre;L-D: 06:00-23:00;38.506806;-1.687833;HELLIN;PETRONOR
CARRETERA N 301-A KM. S/N;D;Terrestre;L-D: 24H;38.502528;-1.677694;HELLIN;MULTSER-OIL
AUTOVIA A-30 KM. 322,5;D;Terrestre;L-D: 06:00-22:00;38.46425;-1.596722;HELLIN;GALP
MELCHOR  DE MACANAZ, 66;N;Terrestre;L: 06:00-23:00;38.511222;-1.696972;HELLIN;BP
CARRETERA TORREUCHEA KM. 1;D;Terrestre;L-D: 24H;38.495972;-1.636389;HELLIN;HELLIN GAS S.L.
CARRETERA A-30 KM. 328,2;I;Terrestre;L-D: 06:00-22:00;38.417306;-1.571667;HELLIN;CEPSA
CARRETERA JAEN KM. 47;D;Terrestre;L-D: 08:00-21:00;38.502889;-1.714556;HELLIN;REPSOL
CARRETERA N-301 KM. 316;I;Terrestre;L-D: 06:00-23:00;38.524444;-1.703056;HELLIN;REPSOL
CARRETERA CM 412 KM. 273;D;Terrestre;L-D: 06:30-22:00;38.532389;-1.694889;HELLIN;PETROGAS
AVENIDA LIBERTAD, 111;D;Terrestre;L-D: 24H;38.517306;-1.700417;HELLIN;PLENOIL
CARRETERA DE HELLIN KM. 104;D;Terrestre;L-D: 06:00-23:00;38.491861;-1.741111;ISSO;REPSOL
BALTASAR GONZALEZ SAEZ, 34 - 36;D;Terrestre;L-D: 24H;38.960944;-1.444083;HIGUERUELA;NO
AUTOVIA A-31 KM. 103,150;D;Terrestre;L-D: 07:00-23:00;38.921833;-1.583389;HOYA-GONZALO;REPSOL
CARRETERA A 45 KM. 39,8;D;Terrestre;L-D: 07:30-21:30;38.356556;-2.111056;LETUR;E.S. LETUR
PASEO LIBERTAD, 62;D;Terrestre;L-D: 7:00-20:30;38.948472;-2.354861;LEZUZA;E.S. VIRGEN DE LA CRUZ
AVENIDA DE LEVANTE 27;D;Terrestre;L-D: 24H;39.232528;-1.794139;MADRIGUERAS;SAT VIDEMA
CARRETERA C-3222 KM. 9;D;Terrestre;L-S: 07:00-15:00;39.226611;-1.800611;MADRIGUERAS;Q8
AVENIDA LEVANTE, 15;I;Terrestre;L-D: 06:00-22:00;39.233056;-1.799472;MADRIGUERAS;REPSOL
CAMINO HORTIGOSA, S/N;N;Terrestre;L-D: 24H;39.209972;-1.729333;MAHORA;SECADEMA
CARRETERA MADRID-CARTAGENA KM. S/N;D;Terrestre;L-D: 24H;39.273583;-2.325056;MINAYA;COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR
CARRERA N-301, 195,2;D;Terrestre;L-D: 06:00-22:00;39.276056;-2.330333;MINAYA;REPSOL
CALLE CAPATAZ SANTIAGO, 91;D;Terrestre;L-D: 06:30-23:00;38.789694;-1.32875;MONTEALEGRE DEL CASTILLO;BODEGAS SANTIAGO APOSTOL
CALLE CAPATAZ SANTIAGO, 23;I;Terrestre;L-D: 07:00-21:00;38.785917;-1.33025;MONTEALEGRE DEL CASTILLO;LOS CORRALES
MEDIO DÍA 28;N;Terrestre;L-D: 24H;39.17907;-1.788246;MOTILLEJA;SAT MOTILLEJA
CALLE COOPERATIVAS, 4;N;Terrestre;L-D: 24H;39.046139;-2.480694;MUNERA;OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM
CALLE POZO (EL), 106;D;Terrestre;L-D: 06:30-22:30;39.043806;-2.485028;MUNERA;INPEALSA
CTRA DE LEDAÑA S/N km S/N;N;Terrestre;L-D: 24H;39.281778;-1.719778;NAVAS DE JORQUERA;COOP SAN GREGORIO
CR AB-702, 45,6;D;Terrestre;L-D: 07:00-21:00;38.151167;-2.293444;NERPIO;CAMPSA
CAMINO DE HELLIN S/N;D;Terrestre;L-D: 24H;38.609556;-1.508333;ONTUR;ONTALBA S. COOP DE C-LM
CRTA.CM km KM297,5;I;Terrestre;L-D: 07:00-21:00;38.622944;-1.497667;ONTUR;REPSOL 
CARRETERA N 430 KM. 429;I;Terrestre;L-D: 07:30-20:30;38.967167;-2.7515;OSSA DE MONTIEL;REPSOL
AVENIDA GUARDIA CIVIL, S/N;D;Terrestre;L-D: 24H;38.724028;-1.990278;PEÑAS DE SAN PEDRO;VALERO 24H ENERGIA
CARRETERA FUENTEALAMO KM. 36;I;Terrestre;L-D: 24H;38.828806;-1.553694;PETROLA;GASOLEOS TURBULA 
CALLE ANTONIO MACHADO, 2;D;Terrestre;"L-V: 07:00-14:00; S: 09:00-14:00";38.805278;-1.736389;POZO CAÑADA;E.S. LEDAÑA 
CALLE HERNAN CORTES, S/N;N;Terrestre;L-D: 08:00-20:00;38.813389;-1.735917;POZO CAÑADA;POZOTRANS
CR CM-313 61,7;I;Terrestre;L-D: 07:00-21:00;38.717556;-1.91075;POZOHONDO;REPSOL
CALLE DISEMINADOS, 1;D;Terrestre;L-V: 08:00-14:00 y 16:00-18:00;38.64175;-1.844139;NAVA DE ABAJO;CAMPAREZ GASOLINERA
POLIGONO PARAJE RECIAL, 2;I;Terrestre;L-D: 24H;39.081278;-1.512611;POZO-LORENTE;SAT SANTA CRUZ DE POZO LORENTE
CARRETERA M 313 KM. 50;I;Terrestre;L-D: 07:00-22:00;38.804722;-2.098778;POZUELO;INLOCOR S.L.
CARRETERA CM-412 KM. 199,5;I;Terrestre;L-D: 08:00-20:00;38.493528;-2.411444;RIOPAR;CEPSA
CARRETERA NACIONAL 320 KM. 289;D;Terrestre;"L-V: 07:00-21:00; S: 07:00-14:30; D: 07:00-21:00";38.771194;-2.450028;ROBLEDO;CANOIL
CARRETERA AB101 KM. 0,2;N;Terrestre;L-D: 24H;39.218389;-2.158028;RODA (LA);GASPLAY
ALFREDO ATIENZA, 149-151;D;Terrestre;L-D: 24H;39.201139;-2.14775;RODA (LA);LA REMEDIADORA
AUTOVIA A-31 KM. 34,50;I;Terrestre;L-D: 07:00-23:00;39.225;-2.186083;RODA (LA);GALP
CARRETERA A-31 KM. 50;D;Terrestre;L-D: 07:00-23:00;39.143972;-2.05125;RODA (LA);GALP
POLIGONO AVENIDA PRIMERA, 17;D;Terrestre;L-D: 24H;39.19125;-2.143056;RODA (LA);HAM
CR NACIONAL 301 km 210,300;N;Terrestre;L-D: 24H;39.213667;-2.176194;RODA (LA);RODATRANS
AUTOVIA A-31 KM. 40;D;Terrestre;L-D: 06:00-22:00;39.200944;-2.144639;RODA (LA);REPSOL
CALLE ALFREDO ATIENZA, 156;D;Terrestre;L-D: 06:00-22:55;39.201667;-2.149;RODA (LA);REPSOL
CARRETERA CM-3114 KM. 0,1;I;Terrestre;"L-V: 06:00-10:00; S: 06:00-14:00";39.213722;-2.156667;RODA (LA);REPSOL
